Reference 1,,
Freq (Hz),e',e''
500000000,1,0
512000000,1,0
524000000,1,0
536000000,1,0
548000000,1,0
560000000,1,0
572000000,1,0
584000000,1,0
596000000,1,0
608000000,1,0
620000000,1,0
632000000,1,0
644000000,1,0
656000000,1,0
668000000,1,0
680000000,1,0
692000000,1,0
704000000,1,0
716000000,1,0
728000000,1,0
740000000,1,0
752000000,1,0
764000000,1,0
776000000,1,0
788000000,1,0
800000000,1,0
812000000,1,0
824000000,1,0
836000000,1,0
848000000,1,0
860000000,1,0
872000000,1,0
884000000,1,0
896000000,1,0
908000000,1,0
920000000,1,0
932000000,1,0
944000000,1,0
956000000,1,0
968000000,1,0
980000000,1,0
992000000,1,0
1004000000,1,0
1016000000,1,0
1028000000,1,0
1040000000,1,0
1052000000,1,0
1064000000,1,0
1076000000,1,0
1088000000,1,0
1100000000,1,0
1112000000,1,0
1124000000,1,0
1136000000,1,0
1148000000,1,0
1160000000,1,0
1172000000,1,0
1184000000,1,0
1196000000,1,0
1208000000,1,0
1220000000,1,0
1232000000,1,0
1244000000,1,0
1256000000,1,0
1268000000,1,0
1280000000,1,0
1292000000,1,0
1304000000,1,0
1316000000,1,0
1328000000,1,0
1340000000,1,0
1352000000,1,0
1364000000,1,0
1376000000,1,0
1388000000,1,0
1400000000,1,0
1412000000,1,0
1424000000,1,0
1436000000,1,0
1448000000,1,0
1460000000,1,0
1472000000,1,0
1484000000,1,0
1496000000,1,0
1508000000,1,0
1520000000,1,0
1532000000,1,0
1544000000,1,0
1556000000,1,0
1568000000,1,0
1580000000,1,0
1592000000,1,0
1604000000,1,0
1616000000,1,0
1628000000,1,0
1640000000,1,0
1652000000,1,0
1664000000,1,0
1676000000,1,0
1688000000,1,0
1700000000,1,0
1712000000,1,0
1724000000,1,0
1736000000,1,0
1748000000,1,0
1760000000,1,0
1772000000,1,0
1784000000,1,0
1796000000,1,0
1808000000,1,0
1820000000,1,0
1832000000,1,0
1844000000,1,0
1856000000,1,0
1868000000,1,0
1880000000,1,0
1892000000,1,0
1904000000,1,0
1916000000,1,0
1928000000,1,0
1940000000,1,0
1952000000,1,0
1964000000,1,0
1976000000,1,0
1988000000,1,0
2000000000,1,0
2012000000,1,0
2024000000,1,0
2036000000,1,0
2048000000,1,0
2060000000,1,0
2072000000,1,0
2084000000,1,0
2096000000,1,0
2108000000,1,0
2120000000,1,0
2132000000,1,0
2144000000,1,0
2156000000,1,0
2168000000,1,0
2180000000,1,0
2192000000,1,0
2204000000,1,0
2216000000,1,0
2228000000,1,0
2240000000,1,0
2252000000,1,0
2264000000,1,0
2276000000,1,0
2288000000,1,0
2300000000,1,0
2312000000,1,0
2324000000,1,0
2336000000,1,0
2348000000,1,0
2360000000,1,0
2372000000,1,0
2384000000,1,0
2396000000,1,0
2408000000,1,0
2420000000,1,0
2432000000,1,0
2444000000,1,0
2456000000,1,0
2468000000,1,0
2480000000,1,0
2492000000,1,0
2504000000,1,0
2516000000,1,0
2528000000,1,0
2540000000,1,0
2552000000,1,0
2564000000,1,0
2576000000,1,0
2588000000,1,0
2600000000,1,0
2612000000,1,0
2624000000,1,0
2636000000,1,0
2648000000,1,0
2660000000,1,0
2672000000,1,0
2684000000,1,0
2696000000,1,0
2708000000,1,0
2720000000,1,0
2732000000,1,0
2744000000,1,0
2756000000,1,0
2768000000,1,0
2780000000,1,0
2792000000,1,0
2804000000,1,0
2816000000,1,0
2828000000,1,0
2840000000,1,0
2852000000,1,0
2864000000,1,0
2876000000,1,0
2888000000,1,0
2900000000,1,0
2912000000,1,0
2924000000,1,0
2936000000,1,0
2948000000,1,0
2960000000,1,0
2972000000,1,0
2984000000,1,0
2996000000,1,0
3008000000,1,0
3020000000,1,0
3032000000,1,0
3044000000,1,0
3056000000,1,0
3068000000,1,0
3080000000,1,0
3092000000,1,0
3104000000,1,0
3116000000,1,0
3128000000,1,0
3140000000,1,0
3152000000,1,0
3164000000,1,0
3176000000,1,0
3188000000,1,0
3200000000,1,0
3212000000,1,0
3224000000,1,0
3236000000,1,0
3248000000,1,0
3260000000,1,0
3272000000,1,0
